Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
1,0,"Oct  5, 2015",4,"Oct  5, 2015",902 KB,2,1,2,https://github.com/lzoubek/wildfly-extension-maven-plugin,org.wildfly.plugins/wildfly-extension-maven-plugin,https://clojars.org/org.wildfly.plugins/wildfly-extension-maven-plugin/versions/0.1-SNAPSHOT,https://github.com/lzoubek/wildfly-extension-maven-plugin
2,3,"Oct  5, 2015",0,"Oct  5, 2015",163 KB,2,2,1,https://github.com/gnarmis/snowball-stemmer,org.clojars.gnarmis/snowball-stemmer,https://clojars.org/org.clojars.gnarmis/snowball-stemmer/versions/0.1.1-SNAPSHOT,https://github.com/gnarmis/snowball-stemmer
1,0,"Oct  7, 2016",0,"Oct  7, 2016",11.7 KB,2,1,3,https://github.com/mpare-net/clj-varint,multiformats/clj-varint,https://clojars.org/multiformats/clj-varint/versions/0.1.0,https://github.com/mpare-net/clj-varint
28,1,"Nov 14, 2015",0,"Nov 14, 2015",1.3 MB,1,1,4,http://http-kit.org,fullcontact/http-kit,https://clojars.org/fullcontact/http-kit/versions/2.1.20,https://github.com/fullcontact/http-kit
1,0,"Nov 22, 2015",0,"Nov 22, 2015",6.84 KB,1,1,1,https://github.com/SevereOverfl0w/mc-ping,io.dominic/mc-ping,https://clojars.org/io.dominic/mc-ping/versions/0.1.0,https://github.com/SevereOverfl0w/mc-ping
1,0,"Feb  7, 2018",1,"Feb  7, 2018",1000 KB,1,1,1,https://github.com/astrolet/ephemeris,ephemeris,https://clojars.org/ephemeris/versions/0.0.1,https://github.com/astrolet/ephemeris
1,0,"Aug  6, 2016",0,"Apr 28, 2016",5.86 KB,1,2,1,https://github.com/phaneesh/xml-bundle,io.dropwizard/dropwizard-xml,https://clojars.org/io.dropwizard/dropwizard-xml/versions/1.0.0-rc2-1,https://github.com/phaneesh/xml-bundle
1,0,"Oct  5, 2015",1,"Oct  5, 2015",844 KB,1,1,2,http://code.google.com/p/kryonet,edb/kryonet,https://clojars.org/edb/kryonet/versions/1.0.4,https://github.com/sritchie/kryonet
1,0,"Oct  5, 2015",0,"Oct  5, 2015",406 KB,1,1,1,https://github.com/r0man/ovh-clj,ovh,https://clojars.org/ovh/versions/0.0.1-SNAPSHOT,https://github.com/r0man/ovh-clj
1,0,"Oct  5, 2015",0,"Oct  5, 2015",246 KB,1,1,1,https://github.com/slagyr/mmargs,mmargs,https://clojars.org/mmargs/versions/1.2.0,https://github.com/slagyr/mmargs
1,0,"Jul 18, 2018",0,"Jul 18, 2018",20.5 KB,1,1,1,https://github.com/sumannewton/apache-ranger-client,com.sumannewton/apache-ranger-client,https://clojars.org/com.sumannewton/apache-ranger-client/versions/1.0,https://github.com/sumannewton/apache-ranger-client
1,0,"Oct  5, 2015",2,"Oct  5, 2015",168 KB,1,1,7,https://github.com/screen6/cascading.redis,io.screen6.cascading/redis,https://clojars.org/io.screen6.cascading/redis/versions/0.1.0,https://github.com/screen6/cascading.redis
